id,latitude,longitude,cp,pop,adresse,ville
54670002,48.79288,6.1454,54670,R,41 Rue du Général Leclerc,Custines
54670004,48.792845,6.145033000000001,54670,R,41 RUE DU GAL LECLERC,CUSTINES
54670005,48.792837414391,6.1450393664375005,54670,R,41 Rue du Général Leclerc,CUSTINES
54700002,48.855856302199996,6.08777352389,54700,A,AUTOROUTE A 31,LOISY
54700004,48.863350616199995,6.09379437759,54700,A,A31 AIRE DE LOISY,LOISY
54700005,48.921,6.058,54700,R,Rue Nicolas Pierson,PONT-à-MOUSSON
54700006,48.909,6.044,54700,R,CENTRE COMMERCIAL MONTRICHARD,PONT-à-MOUSSON
54700009,48.917,6.065,54700,R,Le Pré Latour,PONT-à-MOUSSON
54700010,48.855856302199996,6.08777352389,54700,A,AUTOROUTE A31 - AIRE L'OBRION,LOISY
54700011,48.860588172143,6.091693528860801,54700,A,AUTOROUTE A31AIRE DE LOISY,LOISY
54710001,48.616467979919,6.1753041191102005,54710,R,Chemin du Bon Curé,LUDRES
54800001,49.1656954684,5.863708558669999,54800,R,48 Rue de Verdun,JARNY
54800003,49.164,5.836,54800,R,N.I. du Val de l'Orne CONFLANS EN JARNISY,JARNY
54800004,49.15977,5.88111,54800,R,40 Avenue Lafayette,JARNY
54800005,49.16055,5.87253,54800,R,AVENUE PATTON,JARNY
54800006,49.154,5.892,54800,R,"18-32, rue de Metz",JARNY
54830001,48.497,6.514,54830,R,18 Rue du Général Leclerc,Gerbéviller
54840004,48.691,5.969,54840,R,Rue de la Croix Saint-Nicolas,Gondreville
54920002,49.471,5.821,54920,R,35 route nationale,VILLERS LA MONTAGNE
54970001,49.319,5.799,54970,R,37 Rue de Verdun,Landres
55000001,48.754,5.179,55000,R,Route de Longeville,SAVONNIèRES-DEVANT-BAR
55000002,48.76891,5.17301,55000,R,32 Rue Ernest Bradfer,Bar-le-Duc
55000003,48.79,5.137,55000,R,2 Route de Reims,FAINS-VéEL
55000004,48.757,5.192,55000,R,Avenue de la Grande Terre,BAR-LE-DUC
55000005,48.787,5.14,55000,R,4 IMPASSE DE LA VARENNE,Fains-Véel
55000007,48.76889,5.17305,55000,R,32 Rue Ernest Bradfer,Bar-le-Duc
55000008,48.76889,5.17305,55000,R,32 RUE ERNEST BRADFER,BAR LE DUC
55000010,48.769,5.172,55000,A,32 RUE ERNEST BRADFER,Bar-le-Duc
55100001,49.143,5.409,55100,R,Avenue de Metz,VERDUN
55100002,49.16454,5.37977,55100,R,4 Avenue du Général de Gaulle,Verdun
55100003,49.168,5.387,55100,R,2 Avenue Miribel,Verdun
55100004,49.165,5.38,55100,R,Place Maurice Genevoix,VERDUN
55100005,49.15153,5.39711,55100,R,10 Avenue de Metz,VERDUN
55100007,49.165,5.38,55100,R,4 AV DU GENERAL DE GAULLE,VERDUN
55120001,49.10482979203601,5.0684536033295,55120,R,RN 3,Clermont-en-Argonne
55130001,48.51838,5.50427,55130,R,3 Rue de Verdun,GONDRECOURT-LE-CHâTEAU
55130002,48.55,5.481,55130,R,10 Rue d'Abainville,Houdelaincourt
55140001,48.60362,5.66686,55140,R,6 rue des Gites,VAUCOULEURS
55160010,49.1191866149,5.5184537660099995,55160,A,AIRE DE VERDUN NORD ST NICOLAS,HAUDIOMONT
55160011,49.1185197,5.509098900000001,55160,A,Autoroute de l'Est,Haudiomont
55160012,49.12625,6.27557,55160,A,Autoroute de l'Est,Haudiomont
