id,nom,ouverture,fermeture,ferme,station_id
1,Lundi,,,,1320002
2,Mardi,,,,1320002
3,Mercredi,,,,1320002
4,Jeudi,,,,1320002
5,Vendredi,,,,1320002
6,Samedi,,,,1320002
7,Dimanche,,,,1320002
1,Lundi,01.00,01.00,1,1330002
2,Mardi,01.00,01.00,1,1330002
3,Mercredi,01.00,01.00,1,1330002
4,Jeudi,01.00,01.00,1,1330002
5,Vendredi,01.00,01.00,1,1330002
6,Samedi,01.00,01.00,1,1330002
7,Dimanche,01.00,01.00,1,1330002
1,Lundi,07.00,12.00,,1330003
2,Mardi,07.00,12.00,,1330003
3,Mercredi,07.00,12.00,,1330003
4,Jeudi,07.00,12.00,,1330003
5,Vendredi,07.00,12.00,,1330003
6,Samedi,,,1,1330003
7,Dimanche,,,1,1330003
1,Lundi,,,,1340002
2,Mardi,,,,1340002
3,Mercredi,,,,1340002
4,Jeudi,,,,1340002
5,Vendredi,,,,1340002
6,Samedi,,,,1340002
7,Dimanche,,,,1340002
1,Lundi,,,,1340003
2,Mardi,,,,1340003
3,Mercredi,,,,1340003
4,Jeudi,,,,1340003
5,Vendredi,,,,1340003
6,Samedi,,,,1340003
7,Dimanche,,,,1340003
1,Lundi,07.00,12.00,,1340004
2,Mardi,07.00,12.00,,1340004
3,Mercredi,07.00,12.00,,1340004
4,Jeudi,07.00,12.00,,1340004
5,Vendredi,07.00,12.00,,1340004
6,Samedi,,,,1340004
7,Dimanche,,,,1340004
1,Lundi,,,,1350001
2,Mardi,,,,1350001
3,Mercredi,,,,1350001
4,Jeudi,,,,1350001
5,Vendredi,,,,1350001
6,Samedi,,,,1350001
7,Dimanche,,,,1350001
1,Lundi,,,,1350003
2,Mardi,,,,1350003
3,Mercredi,,,,1350003
4,Jeudi,,,,1350003
5,Vendredi,,,,1350003
6,Samedi,,,,1350003
7,Dimanche,,,,1350003
1,Lundi,01.00,01.00,1,1350004
2,Mardi,01.00,01.00,1,1350004
3,Mercredi,01.00,01.00,1,1350004
4,Jeudi,01.00,01.00,1,1350004
5,Vendredi,01.00,01.00,1,1350004
6,Samedi,01.00,01.00,1,1350004
7,Dimanche,01.00,01.00,1,1350004
1,Lundi,06.30,20.00,,1370001
2,Mardi,06.30,20.00,,1370001
3,Mercredi,06.30,20.00,,1370001
4,Jeudi,06.30,20.00,,1370001
5,Vendredi,06.30,20.00,,1370001
6,Samedi,07.00,20.00,,1370001
7,Dimanche,09.00,19.00,,1370001
1,Lundi,,,,1380001
2,Mardi,,,,1380001
3,Mercredi,,,,1380001
4,Jeudi,,,,1380001
5,Vendredi,,,,1380001
6,Samedi,,,,1380001
7,Dimanche,,,,1380001
