service,station_id
Piste poids lourds,1370001
Lavage automatique,1370001
Lavage manuel,1370001
Services réparation / entretien,1370001
"Vente de gaz domestique (Butane, Propane)",1370001
Vente d'additifs carburants,1370001
Automate CB 24/24,1370001
Laverie,1370003
"Vente de gaz domestique (Butane, Propane)",1370003
DAB (Distributeur automatique de billets),1370003
Automate CB 24/24,1380001
Toilettes publiques,1390001
Relais colis,1390001
Restauration à emporter,1390001
Location de véhicule,1390001
"Vente de gaz domestique (Butane, Propane)",1390001
Wifi,1390001
DAB (Distributeur automatique de billets),1390001
Toilettes publiques,1390002
Boutique alimentaire,1390002
Boutique non alimentaire,1390002
Station de gonflage,1390002
Carburant additivé,1390002
Location de véhicule,1390002
Piste poids lourds,1390002
Lavage automatique,1390002
Lavage manuel,1390002
Services réparation / entretien,1390002
"Vente de gaz domestique (Butane, Propane)",1390002
Vente d'additifs carburants,1390002
Wifi,1390002
DAB (Distributeur automatique de billets),1390002
Toilettes publiques,1390004
Boutique alimentaire,1390004
Station de gonflage,1390004
Carburant additivé,1390004
Espace bébé,1390004
Toilettes publiques,1390006
Douches,1390006
Boutique alimentaire,1390006
Restauration à emporter,1390006
Restauration sur place,1390006
Station de gonflage,1390006
Carburant additivé,1390006
Piste poids lourds,1390006
Espace bébé,1390006
Toilettes publiques,1390008
Douches,1390008
Boutique alimentaire,1390008
Boutique non alimentaire,1390008
Station de gonflage,1390008
Carburant additivé,1390008
Piste poids lourds,1390008
Espace bébé,1390008
Toilettes publiques,1390009
Douches,1390009
Boutique alimentaire,1390009
Boutique non alimentaire,1390009
Restauration à emporter,1390009
Restauration sur place,1390009
Bar,1390009
Station de gonflage,1390009
Carburant additivé,1390009
Aire de camping-cars,1390009
Piste poids lourds,1390009
Espace bébé,1390009
Bornes électriques,1390009
Automate CB 24/24,1390009
DAB (Distributeur automatique de billets),1390009
Toilettes publiques,1390010
Laverie,1390010
Relais colis,1390010
Boutique alimentaire,1390010
Boutique non alimentaire,1390010
Restauration à emporter,1390010
Restauration sur place,1390010
Station de gonflage,1390010
"Vente de gaz domestique (Butane, Propane)",1390010
Bornes électriques,1390010
Vente d'additifs carburants,1390010
Automate CB 24/24,1390010
DAB (Distributeur automatique de billets),1390010
Toilettes publiques,1390011
Douches,1390011
Boutique alimentaire,1390011
Boutique non alimentaire,1390011
Restauration à emporter,1390011
Restauration sur place,1390011
Station de gonflage,1390011
Carburant additivé,1390011
Piste poids lourds,1390011
Espace bébé,1390011
Bornes électriques,1390011
Vente d'additifs carburants,1390011
Wifi,1390011
Automate CB 24/24,1390011
Toilettes publiques,1400001
Laverie,1400001
Relais colis,1400001
Boutique alimentaire,1400001
Boutique non alimentaire,1400001
Restauration à emporter,1400001
Restauration sur place,1400001
Vente de pétrole lampant,1400001
Station de gonflage,1400001
